Job,Percentage
Programmer/System Developer/Software Engineer,25.423728813559322
Full Stack Developer,11.299435028248588
System Analyst,9.416195856873824
Business Analyst,6.96798493408663
QA Engineer/Software Tester,6.0263653483992465
Data Analyst,5.4613935969868175
IT Support,5.084745762711865
Data Engineer,4.3314500941619585
Project Manager,4.143126177024483
Front-End Developer,3.389830508474576
Backend Developer,2.824858757062147
System Engineer,2.2598870056497176
Data Scientist,2.0715630885122414
Network Engineer/Senior Network Engineer,1.5065913370998116
Product Manager/Owner,1.1299435028248588
System Administrator,0.9416195856873822
AI Engineer,0.9416195856873822
SAP Specialist,0.7532956685499058
Presales Engineer,0.7532956685499058
IT Solution Consultant,0.7532956685499058
Mobile Developer,0.7532956685499058
Database Administrator,0.7532956685499058
IoT Engineer,0.7532956685499058
BI Developer,0.5649717514124294
DevOps Engineer,0.5649717514124294
Cloud Engineer,0.3766478342749529
Security Analyst,0.3766478342749529
Solution Architect,0.18832391713747645
Scrum Master,0.18832391713747645
