index,IT_job_criteria,Is_Programmer/System Developer/Software Engineer,Is_Full Stack Developer,Is_Data Analyst/Data Scientist/Data Engineer,Is_BI Developer,Is_IoT Engineer,Is_QA Engineer,Is_System Analyst,Is_Backend Developer,Is_Mobile Developer,Is_IT Support,Is_Project Manager,Is_System Engineer,Is_Database Administrator,Is_Business Analyst,Is_Front-End Developer,Is_System Administrator,Is_AI Engineer,Is_DevOps Engineer,Is_SAP Specialist,Is_Solution Architect,Is_Scrum Master,Is_Product manager/Owner,Is_Cloud Engineer,Is_Security Analyst,Is_IT Solution Consultant,Is_Presales Engineer,Is_Network Engineer/Senior Network Engineer,Is_bachelor,Is_Master,IS_PhD,Is_Missing,IS_CPE__SOFTTWARE_ENG,IS_CS_IT,IS_Data_ML_AI_related,Is_Enginering,IS_MATH_SCIENCE,IS_INFORMATION_SYSTEM,IS_MANAGEMENT,Is_Other,Is_Missing,Job_year_experience_Scaled,Popular General-Purpose,Low-Demand,Legacy / Obsolete,Is_Scripting_Automation,Is_Statistical_Analytics,Is_Frontend,Is_Backend,Is_Markup,Is_Other,Is_Missing,Is_Frontend_Framwork,Is_Backend_Frameworks ,Is_Data_Science / ML,Is_Big_Data,Is_Testing / QA,Is_Dev_Tool,Is_Mobile_Development,Is_Others / Legacy / Specific Tools ,Is_Missing,Is_SQL_Relational_Database,Is_NoSQL,Is_BigData,Is_Other,Is_Missing,Programming Related,AI/ML-Related,DataAnalytic-Related,Web-Tech Related,System Operational,Network-security Related,Cloud Related,QA-Related,Banking,Business/Finance-Knowledge Related,Project Management-Skill,Data science,SAP-related,Interface Desgin,Gaming/3D design,HR-Related,HealthCare,Hardware-Iot,Law-related,Other,Is_Missing,English_proficiency,Is_TOEIC_Scaled,Is_IELTS_Scaled,Is_TOEFL_iBT_Scaled,Selected_Salary
1,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.312524511,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.791144064,-0.123141968,-0.085957456,25000
2,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.880575013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.791144064,-0.123141968,-0.085957456,30000
3,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.016676016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,55000
4,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.84722298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,70000
5,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.448625515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,90000
6,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.415273482,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,119999
7,Data Analyst/Data Scientist/Data Engineer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.880575013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.190178912,-0.123141968,-0.085957456,"21,000"
8,Data Analyst/Data Scientist/Data Engineer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.448625515,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.190178912,-0.123141968,-0.085957456,"30,000"
9,BI Developer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1.312524511,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190178912,-0.123141968,-0.085957456,35000
10,BI Developer,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.016676016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,45000
11,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.84722298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190178912,-0.123141968,-0.085957456,"60,000"
12,Data Analyst/Data Scientist/Data Engineer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.016676016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.190178912,-0.123141968,-0.085957456,70000
13,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.016676016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,40000
14,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.016676016,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190178912,-0.123141968,-0.085957456,65000
15,Full Stack Developer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.84722298,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.190178912,-0.123141968,-0.085957456,85000
16,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,-0.016676016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.190178912,-0.123141968,-0.085957456,40000
17,Programmer/System Developer/Software Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0.84722298,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190178912,-0.123141968,-0.085957456,60000
18,Data Analyst/Data Scientist/Data Engineer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,-0.448625515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190178912,-0.123141968,-0.085957456,<120000
